#Firmware: Speeduino 2023.06-dev
ToothTime,Time
uS,uS
11188.0,871684.0
9172.0,880856.0
7600.0,888456.0
6776.0,895232.0
6384.0,901616.0
6240.0,907856.0
6216.0,914072.0
6328.0,920400.0
6524.0,926924.0
6804.0,933728.0
7080.0,940808.0
21356.0,962164.0
8332.0,970496.0
9116.0,979612.0
10296.0,989908.0
11140.0,1001048.0
10596.0,1011644.0
8896.0,1020540.0
7568.0,1028108.0
6796.0,1034904.0
6456.0,1041360.0
6328.0,1047688.0
6332.0,1054020.0
6452.0,1060472.0
6652.0,1067124.0
6856.0,1073980.0
7508.0,1081488.0
21240.0,1102728.0
27104.0,1129832.0
12852.0,1142684.0
10936.0,1153620.0
9144.0,1162764.0
7720.0,1170484.0
6956.0,1177440.0
6604.0,1184044.0
6476.0,1190520.0
6480.0,1197000.0
6628.0,1203628.0
6856.0,1210484.0
6912.0,1217396.0
7276.0,1224672.0
21956.0,1246628.0
8588.0,1255216.0
9332.0,1264548.0
10560.0,1275108.0
11412.0,1286520.0
10720.0,1297240.0
9024.0,1306264.0
7696.0,1313960.0
6924.0,1320884.0
6596.0,1327480.0
6472.0,1333952.0
6516.0,1340468.0
6652.0,1347120.0
6880.0,1354000.0
6884.0,1360884.0
7696.0,1368580.0
21580.0,1390160.0
27220.0,1417380.0
12696.0,1430076.0
10868.0,1440944.0
9112.0,1450056.0
7708.0,1457764.0
6960.0,1464724.0
6612.0,1471336.0
6496.0,1477832.0
6516.0,1484348.0
6680.0,1491028.0
6900.0,1497928.0
6872.0,1504800.0
7316.0,1512116.0
21844.0,1533960.0
8432.0,1542392.0
9156.0,1551548.0
10176.0,1561724.0
10872.0,1572596.0
10360.0,1582956.0
8860.0,1591816.0
7684.0,1599500.0
6980.0,1606480.0
6688.0,1613168.0
6600.0,1619768.0
6652.0,1626420.0
6816.0,1633236.0
6944.0,1640180.0
6848.0,1647028.0
7880.0,1654908.0
21752.0,1676660.0
27268.0,1703928.0
12620.0,1716548.0
10772.0,1727320.0
9124.0,1736444.0
7832.0,1744276.0
7136.0,1751412.0
6816.0,1758228.0
6728.0,1764956.0
6768.0,1771724.0
6968.0,1778692.0
6996.0,1785688.0
6996.0,1792684.0
7548.0,1800232.0
22424.0,1822656.0
8712.0,1831368.0
9416.0,1840784.0
10504.0,1851288.0
11284.0,1862572.0
10564.0,1873136.0
9008.0,1882144.0
7780.0,1889924.0
7052.0,1896976.0
6756.0,1903732.0
6668.0,1910400.0
6732.0,1917132.0
6912.0,1924044.0
6952.0,1930996.0
6980.0,1937976.0
7860.0,1945836.0
21952.0,1967788.0
27268.0,1995056.0
12476.0,2007532.0
10668.0,2018200.0
9084.0,2027284.0
7780.0,2035064.0
7076.0,2042140.0
6768.0,2048908.0
6680.0,2055588.0
6728.0,2062316.0
MARK 000
0.0,2062316.0
0.0,2062316.0
11728.0,2074044.0
12028.0,2086072.0
12872.0,2098944.0
14324.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
0.0,2113268.0
MARK 001
