#Firmware: Speeduino 2023.05
PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms,ms
MARK 000
1.000,0.000,1.000,0.000,0.000,0.000,1011939,NaN,1011939
0.000,0.000,1.000,0.000,0.000,0.000,1011941,2.908,1011941
1.000,0.000,1.000,0.000,0.000,0.000,1011954,13.032,1011954
0.000,0.000,1.000,0.000,0.000,0.000,1011958,3.480,1011958
1.000,0.000,1.000,0.000,0.000,0.000,1011969,11.280,1011969
0.000,0.000,1.000,0.000,0.000,0.000,1011973,3.560,1011973
1.000,0.000,1.000,0.000,0.000,0.000,1011984,10.760,1011984
0.000,0.000,1.000,0.000,0.000,0.000,1011987,3.504,1011987
1.000,0.000,1.000,0.000,0.000,0.000,1012000,12.552,1012000
0.000,0.000,1.000,0.000,0.000,0.000,1012003,3.880,1012003
1.000,0.000,1.000,0.000,0.000,0.000,1012178,174.248,1012178
0.000,0.000,1.000,0.000,0.000,0.000,1012180,2.456,1012180
1.000,0.000,1.000,0.000,0.000,0.000,1012191,10.900,1012191
0.000,0.000,1.000,0.000,0.000,0.000,1012195,3.444,1012195
1.000,0.000,1.000,0.000,0.000,0.000,1012201,6.736,1012201
0.000,0.000,1.000,0.000,0.000,0.000,1012205,3.284,1012205
1.000,0.000,1.000,0.000,0.000,0.000,1012210,5.112,1012210
0.000,0.000,1.000,0.000,0.000,0.000,1012213,3.020,1012213
1.000,0.000,1.000,0.000,0.000,0.000,1012217,4.424,1012217
0.000,0.000,1.000,0.000,0.000,0.000,1012220,2.868,1012220
1.000,0.000,1.000,0.000,0.000,0.000,1012224,4.120,1012224
0.000,0.000,1.000,0.000,0.000,0.000,1012227,2.796,1012227
1.000,0.000,1.000,0.000,0.000,0.000,1012231,4.012,1012231
0.000,0.000,1.000,0.000,0.000,0.000,1012234,2.764,1012234
1.000,0.000,1.000,0.000,0.000,0.000,1012238,4.024,1012238
0.000,0.000,1.000,0.000,0.000,0.000,1012240,2.736,1012240
1.000,0.000,1.000,0.000,0.000,0.000,1012245,4.144,1012245
0.000,0.000,1.000,0.000,0.000,0.000,1012247,2.788,1012247
1.000,0.000,1.000,0.000,0.000,0.000,1012252,4.332,1012252
0.000,0.000,1.000,0.000,0.000,0.000,1012254,2.792,1012254
1.000,0.000,1.000,0.000,0.000,0.000,1012259,4.344,1012259
0.000,0.000,1.000,0.000,0.000,0.000,1012262,2.788,1012262
1.000,0.000,1.000,0.000,0.000,0.000,1012266,4.772,1012266
0.000,0.000,1.000,0.000,0.000,0.000,1012272,5.776,1012272
1.000,0.000,1.000,0.000,0.000,0.000,1012290,18.192,1012290
1.000,1.000,1.000,1.000,0.000,0.000,1012291,0.324,1012291
0.000,1.000,1.000,0.000,0.000,0.000,1012294,3.364,1012294
0.000,0.000,1.000,1.000,0.000,0.000,1012301,6.756,1012301
1.000,0.000,1.000,0.000,0.000,0.000,1012301,0.232,1012301
0.000,0.000,1.000,0.000,0.000,0.000,1012304,3.352,1012304
1.000,0.000,1.000,0.000,0.000,0.000,1012314,9.752,1012314
0.000,0.000,1.000,0.000,0.000,0.000,1012317,2.880,1012317
1.000,0.000,1.000,0.000,0.000,0.000,1012331,14.384,1012331
0.000,0.000,1.000,0.000,0.000,0.000,1012333,1.280,1012333
1.000,0.000,1.000,0.000,0.000,0.000,1012347,14.068,1012347
0.000,0.000,1.000,0.000,0.000,0.000,1012350,3.004,1012350
1.000,0.000,1.000,0.000,0.000,0.000,1012359,9.304,1012359
